,Name,Price,Organic?,Origin,date,item,price
10,"Apple-macintosh 2.5lb tote ipm  $7.74 each  Integrated Pest Management, Waxed, Champlain Orchards Shoreham VT",$7.74 each,"Integrated Pest Management, Waxed",Champlain Orchards Shoreham VT,2022-11-29,Apple-macintosh 2.5lb tote ipm  ,7.74
11,"Apple-mutsu/crispin ipm  $1.50 per pound  Integrated Pest Management, Waxed, Hepworth Farms, NY",$1.50 per pound,"Integrated Pest Management, Waxed","Hepworth Farms, NY",2022-11-29,Apple-mutsu/crispin ipm  ,1.50
12,"Apple-opal organic  $3.08 per pound  Organic, Washington",$3.08 per pound,Organic,Washington,2022-11-29,Apple-opal organic  ,3.08
13,"Apple-pink lady ipm  $1.50 per pound  Integrated Pest Management, Waxed, Locally grown within 500 miles USA",$1.50 per pound,"Integrated Pest Management, Waxed",Locally grown within 500 miles USA,2022-11-29,Apple-pink lady ipm  ,1.50
14,"Apple-roxbury russet heirloom ipm  $3.34 per pound  Integrated Pest Management, Waxed, Scott Farm Orchard Dummerston VT",$3.34 per pound,"Integrated Pest Management, Waxed",Scott Farm Orchard Dummerston VT,2022-11-29,Apple-roxbury russet heirloom ipm  ,3.34
15,"Apple-ruby frost label NY ipm  $2.04 per pound  Integrated Pest Management, Wilklow Orchards Highland NY",$2.04 per pound,Integrated Pest Management,Wilklow Orchards Highland NY,2022-11-29,Apple-ruby frost label NY ipm  ,2.04
16,"Apple-stayman winesap ipm  $1.50 per pound  Integrated Pest Management, Hepworth Farms, NY",$1.50 per pound,Integrated Pest Management,"Hepworth Farms, NY",2022-11-29,Apple-stayman winesap ipm  ,1.50
17,"Apple-sweetango minneiska organic  $2.87 per pound  Organic, Washington",$2.87 per pound,Organic,Washington,2022-11-29,Apple-sweetango minneiska organic  ,2.87
18,"Artichokes.  $3.87 each  Conventional, California",$3.87 each,Conventional,California,2022-11-29,Artichokes.  ,3.87
19,"Arugula-bunched organic  $2.80 per bunch  Organic, Locally grown within 500 miles USA",$2.80 per bunch,Organic,Locally grown within 500 miles USA,2022-11-29,Arugula-bunched organic  ,2.80
20,"Arugula. bunched  $1.59 per bunch  Conventional, Florida",$1.59 per bunch,Conventional,Florida,2022-11-29,Arugula. bunched  ,1.59
21,"Asparagus. conventional banded bunched  $2.67 per pound  Conventional, Mexico or Peru",$2.67 per pound,Conventional,Mexico or Peru,2022-11-29,Asparagus. conventional banded bunched  ,2.67
22,"Avocados-hass #94225 organic  $2.95 per pound  Organic, Mexico",$2.95 per pound,Organic,Mexico,2022-11-29,Avocados-hass #94225 organic  ,2.95
23,"Avocados-hass. #4225  $2.11 per pound  Conventional, Mexico",$2.11 per pound,Conventional,Mexico,2022-11-29,Avocados-hass. #4225  ,2.11
24,"Bananas-organic  $0.94 per pound  Organic, Colombia, Ecuador or Peru",$0.94 per pound,Organic,"Colombia, Ecuador or Peru",2022-11-29,Bananas-organic  ,0.94
25,"Bananas.-baby  $1.79 per pound  Conventional, Ecuador or Costa Rica",$1.79 per pound,Conventional,Ecuador or Costa Rica,2022-11-29,Bananas.-baby  ,1.79
26,"Basil.  $2.93 per bunch  Conventional, USA",$2.93 per bunch,Conventional,USA,2022-11-29,Basil.  ,2.93
27,"Beans-green bags organic  $4.48 each  Organic, USA",$4.48 each,Organic,USA,2022-11-29,Beans-green bags organic  ,4.48
28,"Beans-green. round.  $2.66 per pound  Conventional, Georgia",$2.66 per pound,Conventional,Georgia,2022-11-29,Beans-green. round.  ,2.66
29,"Beans-haricot vert organic  $3.18 each  Organic, Guatemala",$3.18 each,Organic,Guatemala,2022-11-29,Beans-haricot vert organic  ,3.18
30,"Beets- bunch various organic  $2.19 per bunch  Organic, Locally grown within 500 miles USA",$2.19 per bunch,Organic,Locally grown within 500 miles USA,2022-11-29,Beets- bunch various organic  ,2.19
31,"Beets-chioggia loose organic  $2.63 per pound  Organic, Jericho Settler's Farm Jericho VT",$2.63 per pound,Organic,Jericho Settler's Farm Jericho VT,2022-11-29,Beets-chioggia loose organic  ,2.63
32,"Beets-gold loose organic  $2.63 per pound  Organic, Jericho Settler's Farm Jericho VT",$2.63 per pound,Organic,Jericho Settler's Farm Jericho VT,2022-11-29,Beets-gold loose organic  ,2.63
33,"Beets-red loose organic  $1.21 per pound  Organic, USA",$1.21 per pound,Organic,USA,2022-11-29,Beets-red loose organic  ,1.21
34,"Bergamot  $6.54 per pound  Conventional, Waxed, California",$6.54 per pound,"Conventional, Waxed",California,2022-11-29,Bergamot  ,6.54
35,"Blackberries-organic  $4.44 each  Organic, USA",$4.44 each,Organic,USA,2022-11-29,Blackberries-organic  ,4.44
36,"Blueberries- small organic  $3.76 each  Organic, USA",$3.76 each,Organic,USA,2022-11-29,Blueberries- small organic  ,3.76
37,"Blueberries. pint  $2.81 each  Conventional, Peru",$2.81 each,Conventional,Peru,2022-11-29,Blueberries. pint  ,2.81
38,"Bok choy- adult white stem organic  $1.48 per pound  Organic, Locally grown within 500 miles USA",$1.48 per pound,Organic,Locally grown within 500 miles USA,2022-11-29,Bok choy- adult white stem organic  ,1.48
39,"Bok choy-baby green medium organic  $3.06 per pound  Organic, Locally grown within 500 miles USA",$3.06 per pound,Organic,Locally grown within 500 miles USA,2022-11-29,Bok choy-baby green medium organic  ,3.06
40,"Broccoli rabe- organic  $2.88 per bunch  Organic, USA",$2.88 per bunch,Organic,USA,2022-11-29,Broccoli rabe- organic  ,2.88
41,"Broccoli slaw organic  $3.65 each  Organic, USA",$3.65 each,Organic,USA,2022-11-29,Broccoli slaw organic  ,3.65
42,"Broccoli- organic  $3.76 per pound  Organic, USA",$3.76 per pound,Organic,USA,2022-11-29,Broccoli- organic  ,3.76
43,"Broccolini-bunch organic  $3.74 per bunch  Organic, Mexico or USA-read box/label",$3.74 per bunch,Organic,Mexico or USA-read box/label,2022-11-29,Broccolini-bunch organic  ,3.74
44,"Brussels sprouts loose organic  $4.07 per pound  Organic, Locally grown within 500 miles USA",$4.07 per pound,Organic,Locally grown within 500 miles USA,2022-11-29,Brussels sprouts loose organic  ,4.07
45,"Buddha's hand- by the pound organic  $8.38 per pound  Organic, Buck Brand Citrus Porterville CA",$8.38 per pound,Organic,Buck Brand Citrus Porterville CA,2022-11-29,Buddha's hand- by the pound organic  ,8.38
46,"Burdock Root (Gobo)-organic  $6.19 per pound  Organic, Vermont",$6.19 per pound,Organic,Vermont,2022-11-29,Burdock Root (Gobo)-organic  ,6.19
47,"Cabbage-caraflex pointy organic  $2.82 per pound  Organic, Locally grown within 500 miles USA",$2.82 per pound,Organic,Locally grown within 500 miles USA,2022-11-29,Cabbage-caraflex pointy organic  ,2.82
48,"Cabbage-green organic  $0.94 per pound  Organic, USA",$0.94 per pound,Organic,USA,2022-11-29,Cabbage-green organic  ,0.94
49,"Cabbage-napa green organic  $1.26 per pound  Organic, Locally grown within 500 miles USA",$1.26 per pound,Organic,Locally grown within 500 miles USA,2022-11-29,Cabbage-napa green organic  ,1.26
50,"Cabbage-napa red organic  $2.72 per pound  Organic, Locally grown within 500 miles USA",$2.72 per pound,Organic,Locally grown within 500 miles USA,2022-11-29,Cabbage-napa red organic  ,2.72
51,"Cabbage-red organic  $0.92 per pound  Organic, USA",$0.92 per pound,Organic,USA,2022-11-29,Cabbage-red organic  ,0.92
52,"Cabbage-savoy organic  $1.26 per pound  Organic, Locally grown within 500 miles USA",$1.26 per pound,Organic,Locally grown within 500 miles USA,2022-11-29,Cabbage-savoy organic  ,1.26
53,"Carrots- bunch orange organic  $2.35 per bunch  Organic, Locally grown within 500 miles USA",$2.35 per bunch,Organic,Locally grown within 500 miles USA,2022-11-29,Carrots- bunch orange organic  ,2.35
54,"Carrots-1# bags organic  $1.12 each  Organic, California",$1.12 each,Organic,California,2022-11-29,Carrots-1# bags organic  ,1.12
55,"Carrots-1# bags regular  $1.08 each  Conventional, California",$1.08 each,Conventional,California,2022-11-29,Carrots-1# bags regular  ,1.08
56,"Carrots-5# bags organic  $5.33 each  Organic, California",$5.33 each,Organic,California,2022-11-29,Carrots-5# bags organic  ,5.33
57,"Carrots-baby local orange organic  $7.26 each  Organic, Pete's Greens Craftsbury VT",$7.26 each,Organic,Pete's Greens Craftsbury VT,2022-11-29,Carrots-baby local orange organic  ,7.26
58,"Carrots-baby local rainbow organic  $7.26 each  Organic, Pete's Greens Craftsbury VT",$7.26 each,Organic,Pete's Greens Craftsbury VT,2022-11-29,Carrots-baby local rainbow organic  ,7.26
59,"Carrots-baby organic bags  $1.51 each  Organic, California",$1.51 each,Organic,California,2022-11-29,Carrots-baby organic bags  ,1.51
60,"Carrots-baby rainbow organic 12oz bags  $2.36 each  Organic, California",$2.36 each,Organic,California,2022-11-29,Carrots-baby rainbow organic 12oz bags  ,2.36
61,"Carrots-baby. bags  $1.24 each  Conventional, USA",$1.24 each,Conventional,USA,2022-11-29,Carrots-baby. bags  ,1.24
62,"Carrots-loose orange organic  $2.01 per pound  Organic, USA",$2.01 per pound,Organic,USA,2022-11-29,Carrots-loose orange organic  ,2.01
63,"Carrots-loose purple organic  $2.82 per pound  Organic, Lancaster County, PA",$2.82 per pound,Organic,"Lancaster County, PA",2022-11-29,Carrots-loose purple organic  ,2.82
64,"Cauliflower-orange organic  $3.35 per pound  Organic, Lancaster County, PA",$3.35 per pound,Organic,"Lancaster County, PA",2022-11-29,Cauliflower-orange organic  ,3.35
65,"Cauliflower-romanesco green organic  $3.35 per pound  Organic, USA",$3.35 per pound,Organic,USA,2022-11-29,Cauliflower-romanesco green organic  ,3.35
66,"Cauliflower-white wrapped organic  $5.78 each  Organic, USA",$5.78 each,Organic,USA,2022-11-29,Cauliflower-white wrapped organic  ,5.78
67,"Celeriac-organic  $3.74 per pound  Organic, Pete's Greens Craftsbury VT",$3.74 per pound,Organic,Pete's Greens Craftsbury VT,2022-11-29,Celeriac-organic  ,3.74
68,"Celery- organic  $1.18 per pound  Organic, USA",$1.18 per pound,Organic,USA,2022-11-29,Celery- organic  ,1.18
69,"Chard- bunch various organic  $2.42 per bunch  Organic, USA",$2.42 per bunch,Organic,USA,2022-11-29,Chard- bunch various organic  ,2.42
70,"Chestnuts.  $8.77 per pound  Conventional, Italy",$8.77 per pound,Conventional,Italy,2022-11-29,Chestnuts.  ,8.77
71,"Cilantro- organic  $1.82 per bunch  Organic, USA",$1.82 per bunch,Organic,USA,2022-11-29,Cilantro- organic  ,1.82
72,"Clementines-box  $10.24 each  Conventional, Waxed, Spain",$10.24 each,"Conventional, Waxed",Spain,2022-11-29,Clementines-box  ,10.24
73,"Collards-bunch organic  $2.39 per bunch  Organic, Locally grown within 500 miles USA",$2.39 per bunch,Organic,Locally grown within 500 miles USA,2022-11-29,Collards-bunch organic  ,2.39
74,"Compost- BK Rot 1lb  $6.25 each  Organic, USA",$6.25 each,Organic,USA,2022-11-29,Compost- BK Rot 1lb  ,6.25
75,"Cranberries-bag organic  $3.47 each  Organic, Canada",$3.47 each,Organic,Canada,2022-11-29,Cranberries-bag organic  ,3.47
76,"Cranberries-loose IPM  $3.10 per pound  Conventional, Locally grown within 500 miles USA",$3.10 per pound,Conventional,Locally grown within 500 miles USA,2022-11-29,Cranberries-loose IPM  ,3.10
77,"Cranberries.  $2.32 each  Conventional, Canada or USA (read label)",$2.32 each,Conventional,Canada or USA (read label),2022-11-29,Cranberries.  ,2.32
78,"Cucumber-english long seedless #4593  $1.10 each  Conventional, Canada or Spain",$1.10 each,Conventional,Canada or Spain,2022-11-29,Cucumber-english long seedless #4593  ,1.10
79,"Cucumber-kirby.  $0.83 per pound  Conventional, Florida",$0.83 per pound,Conventional,Florida,2022-11-29,Cucumber-kirby.  ,0.83
80,"Cucumber-persian.  $1.62 per pound  Conventional, Dominican Republic",$1.62 per pound,Conventional,Dominican Republic,2022-11-29,Cucumber-persian.  ,1.62
81,"Cucumber-persian/mini bag organic  $3.87 each  Organic, Mexico",$3.87 each,Organic,Mexico,2022-11-29,Cucumber-persian/mini bag organic  ,3.87
82,"Cucumber-slicing organic  $1.33 per pound  Organic, Locally grown within 500 miles USA",$1.33 per pound,Organic,Locally grown within 500 miles USA,2022-11-29,Cucumber-slicing organic  ,1.33
83,"Curry leaf.  $52.15 per pound  Conventional, California",$52.15 per pound,Conventional,California,2022-11-29,Curry leaf.  ,52.15
84,"Daikon-organic  $2.07 per pound  Organic, New York",$2.07 per pound,Organic,New York,2022-11-29,Daikon-organic  ,2.07
85,"Daikon-purple organic  $1.86 per pound  Organic, New York",$1.86 per pound,Organic,New York,2022-11-29,Daikon-purple organic  ,1.86
86,"Dandelions- bunch organic  $2.58 per bunch  Organic, Locally grown within 500 miles USA",$2.58 per bunch,Organic,Locally grown within 500 miles USA,2022-11-29,Dandelions- bunch organic  ,2.58
87,"Dill- conventional  $1.94 per bunch  Conventional, USA",$1.94 per bunch,Conventional,USA,2022-11-29,Dill- conventional  ,1.94
88,"Dill- organic  $2.58 per bunch  Organic, Locally grown within 500 miles USA",$2.58 per bunch,Organic,Locally grown within 500 miles USA,2022-11-29,Dill- organic  ,2.58
89,"Eggplant- organic  $2.56 per pound  Organic, Locally grown within 500 miles USA",$2.56 per pound,Organic,Locally grown within 500 miles USA,2022-11-29,Eggplant- organic  ,2.56
90,"Endive-Belgian  $3.81 per pound  Conventional, Belgium or USA",$3.81 per pound,Conventional,Belgium or USA,2022-11-29,Endive-Belgian  ,3.81
91,"Escarole.  $1.48 per pound  Conventional, Florida",$1.48 per pound,Conventional,Florida,2022-11-29,Escarole.  ,1.48
92,"Feijoa-pineapple guava organic  $10.67 per pound  Organic, California",$10.67 per pound,Organic,California,2022-11-29,Feijoa-pineapple guava organic  ,10.67
93,"Fennel- organic twistie  $3.23 each  Organic, USA",$3.23 each,Organic,USA,2022-11-29,Fennel- organic twistie  ,3.23
94,"Fennel.  $1.71 each  Conventional, California",$1.71 each,Conventional,California,2022-11-29,Fennel.  ,1.71
95,"Flowers- Edible blue moon 15 ct organic  $4.19 each  Organic, Blue Moon Acres, NJ/PA",$4.19 each,Organic,"Blue Moon Acres, NJ/PA",2022-11-29,Flowers- Edible blue moon 15 ct organic  ,4.19
96,"Flowers-lancaster bouquet  $13.53 per bunch  Conventional, Lancaster County, PA",$13.53 per bunch,Conventional,"Lancaster County, PA",2022-11-29,Flowers-lancaster bouquet  ,13.53
97,"Garlic- organic  $6.14 per pound  Organic, USA",$6.14 per pound,Organic,USA,2022-11-29,Garlic- organic  ,6.14
98,"Garlic-black organic  $8.76 each  Organic, Pete's Greens Craftsbury VT",$8.76 each,Organic,Pete's Greens Craftsbury VT,2022-11-29,Garlic-black organic  ,8.76
99,"Garlic.-blank label  $4.28 per pound  Conventional, USA",$4.28 per pound,Conventional,USA,2022-11-29,Garlic.-blank label  ,4.28
100,"Ginger- organic  $2.30 per pound  Organic, Peru",$2.30 per pound,Organic,Peru,2022-11-29,Ginger- organic  ,2.30
101,"Ginger-young local organic  $20.61 per pound  Organic, Lancaster County, PA",$20.61 per pound,Organic,"Lancaster County, PA",2022-11-29,Ginger-young local organic  ,20.61
102,"Gourds.-ornamental  $2.84 per pound  Conventional, Lancaster County, PA",$2.84 per pound,Conventional,"Lancaster County, PA",2022-11-29,Gourds.-ornamental  ,2.84
103,"Grapefruit- organic  $1.97 per pound  Organic, Waxed, California",$1.97 per pound,"Organic, Waxed",California,2022-11-29,Grapefruit- organic  ,1.97
104,"Grapefruit.  $1.25 per pound  Conventional, Waxed, Florida",$1.25 per pound,"Conventional, Waxed",Florida,2022-11-29,Grapefruit.  ,1.25
105,"Herbs- basil .75oz organic  $2.04 each  Organic, Read label",$2.04 each,Organic,Read label,2022-11-29,Herbs- basil .75oz organic  ,2.04
106,"Herbs- basil gotham greens pesticide free  $3.65 each  Hydroponic, Gotham Greens NY",$3.65 each,Hydroponic,Gotham Greens NY,2022-11-29,Herbs- basil gotham greens pesticide free  ,3.65
107,"Herbs- basil square roots pesticide free  $2.32 each  Hydroponic, Square Roots Urban Growers Brooklyn NY",$2.32 each,Hydroponic,Square Roots Urban Growers Brooklyn NY,2022-11-29,Herbs- basil square roots pesticide free  ,2.32
108,"Herbs- bay leaves organic  $2.26 each  Organic, Read label",$2.26 each,Organic,Read label,2022-11-29,Herbs- bay leaves organic  ,2.26
109,"Herbs- chives cup organic  $1.94 each  Organic, Read label",$1.94 each,Organic,Read label,2022-11-29,Herbs- chives cup organic  ,1.94
110,"Herbs- marjoram cup organic  $2.04 each  Organic, Read label",$2.04 each,Organic,Read label,2022-11-29,Herbs- marjoram cup organic  ,2.04
111,"Herbs- mint cup organic  $2.04 each  Organic, Read label",$2.04 each,Organic,Read label,2022-11-29,Herbs- mint cup organic  ,2.04
112,"Herbs- oregano cup organic  $2.04 each  Organic, Read label",$2.04 each,Organic,Read label,2022-11-29,Herbs- oregano cup organic  ,2.04
113,"Herbs- rosemary bag local organic  $1.94 each  Organic, Locally grown within 500 miles USA",$1.94 each,Organic,Locally grown within 500 miles USA,2022-11-29,Herbs- rosemary bag local organic  ,1.94
114,"Herbs- rosemary cup organic  $2.04 each  Organic, Read label",$2.04 each,Organic,Read label,2022-11-29,Herbs- rosemary cup organic  ,2.04
115,"Herbs- sage cup organic  $2.04 each  Organic, Read label",$2.04 each,Organic,Read label,2022-11-29,Herbs- sage cup organic  ,2.04
116,"Herbs- tarragon cup organic  $2.04 each  Organic, Read label",$2.04 each,Organic,Read label,2022-11-29,Herbs- tarragon cup organic  ,2.04
117,"Herbs- thyme cup organic  $2.04 each  Organic, Read label",$2.04 each,Organic,Read label,2022-11-29,Herbs- thyme cup organic  ,2.04
118,"Herbs-oregano  $1.72 each  Conventional, USA",$1.72 each,Conventional,USA,2022-11-29,Herbs-oregano  ,1.72
119,"Herbs-rosemary  $1.56 each  Conventional, USA",$1.56 each,Conventional,USA,2022-11-29,Herbs-rosemary  ,1.56
120,"Herbs-sage  $1.56 each  Conventional, USA",$1.56 each,Conventional,USA,2022-11-29,Herbs-sage  ,1.56
121,"Herbs-tarragon  $1.72 each  Conventional, Read label",$1.72 each,Conventional,Read label,2022-11-29,Herbs-tarragon  ,1.72
122,"Herbs-thyme  $1.56 each  Conventional, USA",$1.56 each,Conventional,USA,2022-11-29,Herbs-thyme  ,1.56
123,"Jerusalem artichokes-organic  $5.80 per pound  Organic, Locally grown within 500 miles USA",$5.80 per pound,Organic,Locally grown within 500 miles USA,2022-11-29,Jerusalem artichokes-organic  ,5.80
124,"Jicama-organic  $2.58 per pound  Organic, Mexico",$2.58 per pound,Organic,Mexico,2022-11-29,Jicama-organic  ,2.58
125,"Kale-green bunch organic  $2.71 per bunch  Organic, Locally grown within 500 miles USA",$2.71 per bunch,Organic,Locally grown within 500 miles USA,2022-11-29,Kale-green bunch organic  ,2.71
126,"Kale-lacinato bunch organic  $2.51 per bunch  Organic, USA",$2.51 per bunch,Organic,USA,2022-11-29,Kale-lacinato bunch organic  ,2.51
127,"Kale-red bunch organic  $2.23 per bunch  Organic, Locally grown within 500 miles USA",$2.23 per bunch,Organic,Locally grown within 500 miles USA,2022-11-29,Kale-red bunch organic  ,2.23
128,"Kiwi-organic  $0.63 each  Organic, New Zealand",$0.63 each,Organic,New Zealand,2022-11-29,Kiwi-organic  ,0.63
129,"Kohlrabi-loose organic  $2.08 per pound  Organic, Locally grown within 500 miles USA",$2.08 per pound,Organic,Locally grown within 500 miles USA,2022-11-29,Kohlrabi-loose organic  ,2.08
130,"Komatsuna-bunch organic  $3.01 per bunch  Organic, Lancaster County, PA",$3.01 per bunch,Organic,"Lancaster County, PA",2022-11-29,Komatsuna-bunch organic  ,3.01
131,"Kumquats.-cup  $7.25 each  Conventional, Florida",$7.25 each,Conventional,Florida,2022-11-29,Kumquats.-cup  ,7.25
132,"Leeks- organic  $3.02 per pound  Organic, USA",$3.02 per pound,Organic,USA,2022-11-29,Leeks- organic  ,3.02
133,"Lemongrass. loose  $5.27 per pound  Conventional, Mexico",$5.27 per pound,Conventional,Mexico,2022-11-29,Lemongrass. loose  ,5.27
134,"Lemons-organic  $1.97 per pound  Organic, Waxed, USA",$1.97 per pound,"Organic, Waxed",USA,2022-11-29,Lemons-organic  ,1.97
135,"Lemons-pink variegated organic  $6.19 per pound  Organic, Waxed, California",$6.19 per pound,"Organic, Waxed",California,2022-11-29,Lemons-pink variegated organic  ,6.19
136,"Lemons. 4958 or blank label  $1.31 per pound  Conventional, Waxed, Arizona",$1.31 per pound,"Conventional, Waxed",Arizona,2022-11-29,Lemons. 4958 or blank label  ,1.31
137,"Lemons.-yuzu  $5.80 per pound  Conventional, Waxed, California",$5.80 per pound,"Conventional, Waxed",California,2022-11-29,Lemons.-yuzu  ,5.80
138,"Lettuce-green leaf organic  $2.71 each  Organic, Locally grown within 500 miles USA",$2.71 each,Organic,Locally grown within 500 miles USA,2022-11-29,Lettuce-green leaf organic  ,2.71
139,"Lettuce-iceberg organic  $6.79 each  Organic, California",$6.79 each,Organic,California,2022-11-29,Lettuce-iceberg organic  ,6.79
140,"Lettuce-red leaf organic  $4.93 each  Organic, Locally grown within 500 miles USA",$4.93 each,Organic,Locally grown within 500 miles USA,2022-11-29,Lettuce-red leaf organic  ,4.93
141,"Lettuce-romaine green organic  $4.24 each  Organic, Locally grown within 500 miles USA",$4.24 each,Organic,Locally grown within 500 miles USA,2022-11-29,Lettuce-romaine green organic  ,4.24
142,"Lettuce-romaine hearts organic  $10.04 each  Organic, USA",$10.04 each,Organic,USA,2022-11-29,Lettuce-romaine hearts organic  ,10.04
143,"Lime leaf makrut  $106.55 per pound  Conventional, California",$106.55 per pound,Conventional,California,2022-11-29,Lime leaf makrut  ,106.55
144,"Limes- organic  $1.79 per pound  Organic, Waxed, Mexico",$1.79 per pound,"Organic, Waxed",Mexico,2022-11-29,Limes- organic  ,1.79
145,"Limes-key bagged  $2.39 each  Conventional, Waxed, Mexico",$2.39 each,"Conventional, Waxed",Mexico,2022-11-29,Limes-key bagged  ,2.39
146,"Limes-palestinian sweet star label or 94306  $3.51 per pound  Organic, Waxed, California",$3.51 per pound,"Organic, Waxed",California,2022-11-29,Limes-palestinian sweet star label or 94306  ,3.51
147,"Mangos- tommy atkins organic  $1.87 per pound  Organic, Waxed, Ecuador",$1.87 per pound,"Organic, Waxed",Ecuador,2022-11-29,Mangos- tommy atkins organic  ,1.87
148,"Medlar  $4.51 per pound  Conventional, Scott Farm Orchard Dummerston VT",$4.51 per pound,Conventional,Scott Farm Orchard Dummerston VT,2022-11-29,Medlar  ,4.51
149,"Micro greens sampler blue moon pesticide free  $5.09 each  Organic, Blue Moon Acres, NJ/PA",$5.09 each,Organic,"Blue Moon Acres, NJ/PA",2022-11-29,Micro greens sampler blue moon pesticide free  ,5.09
150,"Micro greens-broccoli organic  $4.51 each  Organic, Agrarian Feast Livingston Manor NY",$4.51 each,Organic,Agrarian Feast Livingston Manor NY,2022-11-29,Micro greens-broccoli organic  ,4.51
151,"Micro greens-cilantro organic  $5.48 each  Organic, Agrarian Feast Livingston Manor NY",$5.48 each,Organic,Agrarian Feast Livingston Manor NY,2022-11-29,Micro greens-cilantro organic  ,5.48
152,"Micro greens-daikon radish organic  $4.51 each  Organic, Agrarian Feast Livingston Manor NY",$4.51 each,Organic,Agrarian Feast Livingston Manor NY,2022-11-29,Micro greens-daikon radish organic  ,4.51
153,"Micro greens-kale organic  $4.51 each  Organic, Agrarian Feast Livingston Manor NY",$4.51 each,Organic,Agrarian Feast Livingston Manor NY,2022-11-29,Micro greens-kale organic  ,4.51
154,"Micro greens-salad mix organic  $7.73 each  Organic, Agrarian Feast Livingston Manor NY",$7.73 each,Organic,Agrarian Feast Livingston Manor NY,2022-11-29,Micro greens-salad mix organic  ,7.73
155,"Micro greens-spicy/wasabi aerofarms pesticide free  $3.23 each  Non-GMO, New Jersey or New York",$3.23 each,Non-GMO,New Jersey or New York,2022-11-29,Micro greens-spicy/wasabi aerofarms pesticide free  ,3.23
156,"Micro greens-watercress aerofarms pesticide free  $3.23 each  Non-GMO, New Jersey or New York",$3.23 each,Non-GMO,New Jersey or New York,2022-11-29,Micro greens-watercress aerofarms pesticide free  ,3.23
157,"Mint. bunch  $1.71 per bunch  Conventional, New Jersey",$1.71 per bunch,Conventional,New Jersey,2022-11-29,Mint. bunch  ,1.71
158,"Mushroom-beech loose organic  $10.29 per pound  Organic, USA",$10.29 per pound,Organic,USA,2022-11-29,Mushroom-beech loose organic  ,10.29
159,"Mushroom-cauliflower  $27.04 per pound  Conventional, Oregon",$27.04 per pound,Conventional,Oregon,2022-11-29,Mushroom-cauliflower  ,27.04
160,"Mushroom-chanterelles  $24.47 per pound  Conventional, Eastern Europe",$24.47 per pound,Conventional,Eastern Europe,2022-11-29,Mushroom-chanterelles  ,24.47
161,"Mushroom-cremini organic  $5.21 per pound  Organic, Pennsylvania",$5.21 per pound,Organic,Pennsylvania,2022-11-29,Mushroom-cremini organic  ,5.21
162,"Mushroom-maitake (hen of the woods) loose organic  $14.81 per pound  Organic, USA",$14.81 per pound,Organic,USA,2022-11-29,Mushroom-maitake (hen of the woods) loose organic  ,14.81
163,"Mushroom-oyster  $8.08 per pound  Conventional, Pennsylvania",$8.08 per pound,Conventional,Pennsylvania,2022-11-29,Mushroom-oyster  ,8.08
164,"Mushroom-porcini with stems  $43.78 per pound  Conventional, South Africa",$43.78 per pound,Conventional,South Africa,2022-11-29,Mushroom-porcini with stems  ,43.78
165,"Mushroom-portobello organic  $4.91 per pound  Organic, Pennsylvania",$4.91 per pound,Organic,Pennsylvania,2022-11-29,Mushroom-portobello organic  ,4.91
